case,phi_deg,extra_areal_density_g_m2,beta_required,pv_fill_factor_max,relative_to_ideal_swarm_same_eta,relative_to_ideal_swarm_vs_15pct_baseline,equivalent_ideal_ring_half_angle_deg_same_eta,efficiency_ratio_needed_for_parity
CP1 + ultralight tandem,0.25,0.0,0.011336210055477119,2.373044522280933,1.0,1.8266666666666669,90.0,1.0
CP1 + projected space CIGS,0.25,0.0,0.011336210055477119,0.7388829755249279,0.7388829755249279,0.7388829755249279,47.636348960664144,1.3533942899273943
CP1 + commercial CIGS,0.25,0.0,0.011336210055477119,0.07649578812999712,0.07649578812999712,0.08516531078473014,4.3871715919379355,13.072615165433653
CP1 + ultralight tandem,0.25,5.0,0.011336210055477119,2.281803646368524,1.0,1.8266666666666669,90.0,1.0
CP1 + projected space CIGS,0.25,5.0,0.011336210055477119,0.710473761432787,0.710473761432787,0.710473761432787,45.27347494297899,1.4075115145467665
CP1 + commercial CIGS,0.25,5.0,0.011336210055477119,0.0735546116594089,0.0735546116594089,0.08189080098080857,4.21817824684513,13.595340624330287
CP1 + ultralight tandem,0.25,10.0,0.011336210055477119,2.1905627704561152,1.0,1.8266666666666669,90.0,1.0
CP1 + projected space CIGS,0.25,10.0,0.011336210055477119,0.682064547340646,0.682064547340646,0.682064547340646,43.00518546870558,1.4661368984782701
CP1 + commercial CIGS,0.25,10.0,0.011336210055477119,0.07061343518882066,0.07061343518882066,0.078616291176887,4.049221656345104,14.161610992667264
CP1 + ultralight tandem,0.5,0.0,0.022672204285855573,1.1409135524063636,1.0,1.8266666666666669,90.0,1.0
CP1 + projected space CIGS,0.5,0.0,0.022672204285855573,0.3552405327854742,0.3552405327854742,0.3552405327854742,20.808186795471805,2.8149940891004377
CP1 + commercial CIGS,0.5,0.0,0.022672204285855573,0.036777683924628664,0.036777683924628664,0.040945821436086584,2.1076813923167914,27.190401713424286
CP1 + ultralight tandem,0.5,5.0,0.022672204285855573,1.0496726764939548,1.0,1.8266666666666669,90.0,1.0
CP1 + projected space CIGS,0.5,5.0,0.022672204285855573,0.32683131869333326,0.32683131869333326,0.32683131869333326,19.07656185378623,3.0596822972718316
CP1 + commercial CIGS,0.5,5.0,0.022672204285855573,0.033836507454040425,0.033836507454040425,0.037671311632165014,1.9390591984751366,29.55387760862387
CP1 + ultralight tandem,0.5,10.0,0.022672204285855573,0.9584318005815461,0.9584318005815461,1.7507354223956244,73.42191973679608,1.0433710561285963
CP1 + projected space CIGS,0.5,10.0,0.022672204285855573,0.29842210460119234,0.29842210460119234,0.29842210460119234,17.362855695373074,3.350958205111474
CP1 + commercial CIGS,0.5,10.0,0.022672204285855573,0.03089533098345219,0.03089533098345219,0.034396801828243444,1.7704538042521205,32.36735028136157
CP1 + ultralight tandem,1.0,0.0,0.04534268199557577,0.5248597974727819,0.5248597974727819,0.9587438967169484,31.658805368429217,1.9052707119406642
CP1 + projected space CIGS,1.0,0.0,0.04534268199557577,0.16342296372819137,0.16342296372819137,0.16342296372819137,9.405633466303835,6.119091082347654
CP1 + commercial CIGS,1.0,0.0,0.04534268199557577,0.016919009942063794,0.016919009942063794,0.01883649773549769,0.969434117526004,59.105113326626444
CP1 + ultralight tandem,1.0,5.0,0.04534268199557577,0.4336189215603732,0.4336189215603732,0.7920772300502817,25.697446225777828,2.306172425321087
CP1 + projected space CIGS,1.0,5.0,0.04534268199557577,0.13501374963605045,0.13501374963605045,0.13501374963605045,7.759414963885635,7.406653046046407
CP1 + commercial CIGS,1.0,5.0,0.04534268199557577,0.013977833471475559,0.013977833471475557,0.015561987931576123,0.8008969459474408,71.54184531105562
CP1 + ultralight tandem,1.0,10.0,0.04534268199557577,0.3423780456479644,0.3423780456479644,0.6254105633836151,20.02182385403174,2.9207480231609453
CP1 + projected space CIGS,1.0,10.0,0.04534268199557577,0.10660453554390953,0.10660453554390953,0.10660453554390953,6.119618601090899,9.38046392583464
CP1 + commercial CIGS,1.0,10.0,0.04534268199557577,0.011036657000887323,0.011036657000887323,0.012287478127654555,0.6323667043933867,90.60714670389794
