case,phi_deg,beta_required,sigma_limit_g_m2,pv_fill_factor_max,relative_dyson_utilization_max,absolute_utilization_max,vertical_displacement_km
CP1 + ultralight tandem,0.25,0.011336210055477119,135.0428398209951,2.373044522280933,2.373044522280933,0.6502141991049757,652751.0689980871
CP1 + projected space CIGS,0.25,0.011336210055477119,135.0428398209951,0.7388829755249279,0.7388829755249279,0.11083244632873918,652751.0689980871
CP1 + commercial CIGS module,0.25,0.011336210055477119,135.0428398209951,0.07649578812999712,0.07649578812999712,0.01277479661770952,652751.0689980871
Kapton + ultralight tandem,0.25,0.011336210055477119,135.0428398209951,2.2635554711860424,2.2635554711860424,0.6202141991049757,652751.0689980871
CP1 + ultralight tandem,0.5,0.022672204285855573,67.52206267186872,1.1409135524063636,1.1409135524063636,0.31261031335934364,1305489.7105567404
CP1 + projected space CIGS,0.5,0.022672204285855573,67.52206267186872,0.3552405327854742,0.3552405327854742,0.053286079917821125,1305489.7105567404
CP1 + commercial CIGS module,0.5,0.022672204285855573,67.52206267186872,0.036777683924628664,0.036777683924628664,0.006141873215412987,1305489.7105567404
Kapton + ultralight tandem,0.5,0.022672204285855573,67.52206267186872,1.0314245013114731,1.0314245013114731,0.28261031335934367,1305489.7105567404
CP1 + ultralight tandem,1.0,0.04534268199557577,33.76231690150845,0.5248597974727819,0.5248597974727819,0.14381158450754225,2610880.003017613
CP1 + projected space CIGS,1.0,0.04534268199557577,33.76231690150845,0.16342296372819137,0.16342296372819137,0.024513444559228704,2610880.003017613
CP1 + commercial CIGS module,1.0,0.04534268199557577,33.76231690150845,0.016919009942063794,0.016919009942063794,0.0028254746603246536,2610880.003017613
Kapton + ultralight tandem,1.0,0.04534268199557577,33.76231690150845,0.4153707463778914,0.4153707463778914,0.11381158450754225,2610880.003017613
CP1 + ultralight tandem,1.5,0.06800970668451067,22.50963977540003,0.31951897400365015,0.31951897400365015,0.08754819887700015,3916071.466857824
CP1 + projected space CIGS,1.5,0.06800970668451067,22.50963977540003,0.09948702101112115,0.09948702101112115,0.014923053151668173,3916071.466857824
CP1 + commercial CIGS module,1.5,0.06800970668451067,22.50963977540003,0.010299788103176487,0.010299788103176487,0.0017200646132304734,3916071.466857824
Kapton + ultralight tandem,1.5,0.06800970668451067,22.50963977540003,0.21002992290875966,0.21002992290875966,0.05754819887700015,3916071.466857824
CP1 + ultralight tandem,2.0,0.09067155217097127,16.883729924599923,0.21685638548540007,0.21685638548540007,0.05941864962299962,5220964.706694145
CP1 + projected space CIGS,2.0,0.09067155217097127,16.883729924599923,0.06752148552822819,0.06752148552822819,0.010128222829234227,5220964.706694145
CP1 + commercial CIGS module,2.0,0.09067155217097127,16.883729924599923,0.006990429367411719,0.006990429367411719,0.0011674017043577572,5220964.706694145
Kapton + ultralight tandem,2.0,0.09067155217097127,16.883729924599923,0.10736733439050954,0.10736733439050954,0.029418649622999615,5220964.706694145
CP1 + ultralight tandem,3.0,0.13597280291322045,11.258677955443588,0.11420945174167131,0.11420945174167131,0.03129338977721794,7829459.053944398
CP1 + projected space CIGS,3.0,0.13597280291322045,11.258677955443588,0.03556082439399195,0.03556082439399195,0.005334123659098792,7829459.053944398
CP1 + commercial CIGS module,3.0,0.13597280291322045,11.258677955443588,0.003681575267907993,0.003681575267907993,0.0006148230697406348,7829459.053944398
Kapton + ultralight tandem,3.0,0.13597280291322045,11.258677955443588,0.0047204006467808,0.0047204006467808,0.0012933897772179394,7829459.053944398
CP1 + ultralight tandem,5.0,0.22643726191551997,6.7606982426332936,0.032129529975060106,0.032129529975060106,0.008803491213166469,13038499.115049662
CP1 + projected space CIGS,5.0,0.22643726191551997,6.7606982426332936,0.010004010665325105,0.010004010665325105,0.0015006015997987656,13038499.115049662
CP1 + commercial CIGS module,5.0,0.22643726191551997,6.7606982426332936,0.0010357048486078198,0.0010357048486078198,0.0001729627097175059,13038499.115049662
Kapton + ultralight tandem,5.0,0.22643726191551997,6.7606982426332936,0.0,0.0,0.0,13038499.115049662
