case,relative_dyson_utilization_target,system_areal_density_g_m2,system_beta,phi_max_deg,absolute_utilization
CP1 + ultralight tandem,0.05,7.74,0.19778733833319775,4.366059208200532,0.013700000000000002
CP1 + ultralight tandem,0.1,10.48,0.1460757632346327,3.2231312538556853,0.027400000000000004
CP1 + ultralight tandem,0.25,18.7,0.08186491971652143,1.8056787149169191,0.0685
CP1 + ultralight tandem,0.5,32.4,0.047249197490708356,1.0420513609984459,0.137
CP1 + projected space CIGS,0.05,13.799961842983876,0.11093320518688765,2.447171231862374,0.0075
CP1 + projected space CIGS,0.1,22.599923685967756,0.06773801628584555,1.4940063236165664,0.015
CP1 + projected space CIGS,0.25,48.99980921491939,0.031242448148815088,0.6890111836664403,0.0375
CP1 + projected space CIGS,0.5,92.99961842983878,0.01646107827693809,0.36302115299225196,0.075
CP1 + commercial CIGS module,0.05,90.00000000000001,0.017009711096655004,0.3751204890918159,0.008350000000000002
CP1 + commercial CIGS module,0.1,175.00000000000003,0.00874785142113686,0.1929180949738208,0.016700000000000003
CP1 + commercial CIGS module,0.25,430.0,0.0035601720899975597,0.07851305440694645,0.04175
CP1 + commercial CIGS module,0.5,855.0,0.0017904959049110534,0.039486088306091495,0.0835
Kapton + ultralight tandem,0.05,13.739999999999998,0.1114173215938101,2.4578573145703766,0.013700000000000002
Kapton + ultralight tandem,0.1,16.479999999999997,0.09289283972687809,2.049016998136208,0.027400000000000004
Kapton + ultralight tandem,0.25,24.7,0.061978704400767234,1.3669556999371815,0.0685
Kapton + ultralight tandem,0.5,38.4,0.03986651038278518,0.8792168706943619,0.137
