phi_deg,beta_scale,axial_residual_fraction,radial_residual_fraction
0.5,0.99,0.010000000000000097,0.010000000000000026
0.5,0.995,0.00500000000000018,0.005000000000000106
0.5,1.005,0.004999999999999787,0.00499999999999992
0.5,1.01,0.009999999999999966,0.010000000000000026
1.0,0.99,0.010000000000000134,0.010000000000000123
1.0,0.995,0.005000000000000067,0.0050000000000001545
1.0,1.005,0.004999999999999805,0.004999999999999784
1.0,1.01,0.009999999999999872,0.00999999999999994
1.5,0.99,0.01000000000000013,0.009999999999999933
1.5,0.995,0.00500000000000024,0.004999999999999966
1.5,1.005,0.004999999999999891,0.0050000000000000894
1.5,1.01,0.009999999999999782,0.010000000000000056
2.0,0.99,0.010000000000000057,0.010000000000000104
2.0,0.995,0.005000000000000029,0.005000000000000052
2.0,1.005,0.004999999999999767,0.0049999999999998665
2.0,1.01,0.010000000000000057,0.010000000000000104
