scenario,power_w,target_fill_factor,relative_to_ideal_swarm_same_eta,equivalent_ideal_ring_half_angle_deg,max_angle_deg
cross_light,100.0,0.01,0.01,0.5729673448571527,0.6154895494632451
cross_nominal,100.0,0.01,0.01,0.5729673448571527,0.44256000569647863
perimeter_nominal,100.0,0.01,0.01,0.5729673448571527,0.3757045315375734
cross_light,100.0,0.05,0.05,2.8659839825988622,0.1991497225475925
cross_nominal,100.0,0.05,0.05,2.8659839825988622,0.12551124986728357
perimeter_nominal,100.0,0.05,0.05,2.8659839825988622,0.11278411583687567
cross_light,100.0,0.1,0.1,5.739170477266787,0.11487534784885581
cross_nominal,100.0,0.1,0.1,5.739170477266787,0.06901751489670231
perimeter_nominal,100.0,0.1,0.1,5.739170477266787,0.06344947713947768
cross_light,100.0,0.25,0.25,14.477512185929925,0.05290491869048256
cross_nominal,100.0,0.25,0.25,14.477512185929925,0.0
perimeter_nominal,100.0,0.25,0.25,14.477512185929925,0.0
cross_light,100.0,0.5,0.5,29.999999999999996,0.0
cross_nominal,100.0,0.5,0.5,29.999999999999996,0.0
perimeter_nominal,100.0,0.5,0.5,29.999999999999996,0.0
cross_light,300.0,0.01,0.01,0.5729673448571527,1.1458939462889681
cross_nominal,300.0,0.01,0.01,0.5729673448571527,0.9054239793181058
perimeter_nominal,300.0,0.01,0.01,0.5729673448571527,0.7481641182192905
cross_light,300.0,0.05,0.05,2.8659839825988622,0.43064188739845993
cross_nominal,300.0,0.05,0.05,2.8659839825988622,0.2985797700825858
perimeter_nominal,300.0,0.05,0.05,2.8659839825988622,0.2585130623465386
cross_light,300.0,0.1,0.1,5.739170477266787,0.26250928957630576
cross_nominal,300.0,0.1,0.1,5.739170477266787,0.17238128039510256
perimeter_nominal,300.0,0.1,0.1,5.739170477266787,0.15301766940532496
cross_light,300.0,0.25,0.25,14.477512185929925,0.12856995854016742
cross_nominal,300.0,0.25,0.25,14.477512185929925,0.07924795647632518
perimeter_nominal,300.0,0.25,0.25,14.477512185929925,0.07257245212644164
cross_light,300.0,0.5,0.5,29.999999999999996,0.0720877774181495
cross_nominal,300.0,0.5,0.5,29.999999999999996,0.0
perimeter_nominal,300.0,0.5,0.5,29.999999999999996,0.0
cross_light,1000.0,0.01,0.01,0.5729673448571527,1.9737955027897627
cross_nominal,1000.0,0.01,0.01,0.5729673448571527,1.7007149586707067
perimeter_nominal,1000.0,0.01,0.01,0.5729673448571527,1.3983024153241634
cross_light,1000.0,0.05,0.05,2.8659839825988622,0.871454337361398
cross_nominal,1000.0,0.05,0.05,2.8659839825988622,0.6747457928259322
perimeter_nominal,1000.0,0.05,0.05,2.8659839825988622,0.5661359775145817
cross_light,1000.0,0.1,0.1,5.739170477266787,0.5647123753397497
cross_nominal,1000.0,0.1,0.1,5.739170477266787,0.41568471613267594
perimeter_nominal,1000.0,0.1,0.1,5.739170477266787,0.3561564956202065
cross_light,1000.0,0.25,0.25,14.477512185929925,0.2966925749003257
cross_nominal,1000.0,0.25,0.25,14.477512185929925,0.20484413827478756
perimeter_nominal,1000.0,0.25,0.25,14.477512185929925,0.18124120327267737
cross_light,1000.0,0.5,0.5,29.999999999999996,0.17385903615905351
cross_nominal,1000.0,0.5,0.5,29.999999999999996,0.11497092764781583
perimeter_nominal,1000.0,0.5,0.5,29.999999999999996,0.10419994106476932
cross_light,3000.0,0.01,0.01,0.5729673448571527,2.870277060022165
cross_nominal,3000.0,0.01,0.01,0.5729673448571527,2.6185293939892467
perimeter_nominal,3000.0,0.01,0.01,0.5729673448571527,2.1962334289090037
cross_light,3000.0,0.05,0.05,2.8659839825988622,1.4451312986717548
cross_nominal,3000.0,0.05,0.05,2.8659839825988622,1.2228790309699995
perimeter_nominal,3000.0,0.05,0.05,2.8659839825988622,1.0184314996800443
cross_light,3000.0,0.1,0.1,5.739170477266787,0.9815691818239716
cross_nominal,3000.0,0.1,0.1,5.739170477266787,0.7996495846098817
perimeter_nominal,3000.0,0.1,0.1,5.739170477266787,0.674446945620705
cross_light,3000.0,0.25,0.25,14.477512185929925,0.5425582366627544
cross_nominal,3000.0,0.25,0.25,14.477512185929925,0.4203917876881128
perimeter_nominal,3000.0,0.25,0.25,14.477512185929925,0.36419453208621033
cross_light,3000.0,0.5,0.5,29.999999999999996,0.3275941612640923
cross_nominal,3000.0,0.5,0.5,29.999999999999996,0.24512035027761658
perimeter_nominal,3000.0,0.5,0.5,29.999999999999996,0.21745201301828498
cross_light,10000.0,0.01,0.01,0.5729673448571527,3.8391494964885844
cross_nominal,10000.0,0.01,0.01,0.5729673448571527,3.646137853478316
perimeter_nominal,10000.0,0.01,0.01,0.5729673448571527,3.1797035834001064
cross_light,10000.0,0.05,0.05,2.8659839825988622,2.174720171164271
cross_nominal,10000.0,0.05,0.05,2.8659839825988622,1.976619486851499
perimeter_nominal,10000.0,0.05,0.05,2.8659839825988622,1.6783093708418255
cross_light,10000.0,0.1,0.1,5.739170477266787,1.5319848367510562
cross_nominal,10000.0,0.1,0.1,5.739170477266787,1.3622258982673767
perimeter_nominal,10000.0,0.1,0.1,5.739170477266787,1.1610998608564342
cross_light,10000.0,0.25,0.25,14.477512185929925,0.8726055555395857
cross_nominal,10000.0,0.25,0.25,14.477512185929925,0.754517294856527
perimeter_nominal,10000.0,0.25,0.25,14.477512185929925,0.6551376637015375
cross_light,10000.0,0.5,0.5,29.999999999999996,0.5324922912494507
cross_nominal,10000.0,0.5,0.5,29.999999999999996,0.4519798266948573
perimeter_nominal,10000.0,0.5,0.5,29.999999999999996,0.4005117419186871
cross_light,30000.0,0.01,0.01,0.5729673448571527,4.579326631605804
cross_nominal,30000.0,0.01,0.01,0.5729673448571527,4.444701640139738
perimeter_nominal,30000.0,0.01,0.01,0.5729673448571527,4.028645880454219
cross_light,30000.0,0.05,0.05,2.8659839825988622,2.8124467377186555
cross_nominal,30000.0,0.05,0.05,2.8659839825988622,2.6635925281409625
perimeter_nominal,30000.0,0.05,0.05,2.8659839825988622,2.339959555985681
cross_light,30000.0,0.1,0.1,5.739170477266787,2.022126310866658
cross_nominal,30000.0,0.1,0.1,5.739170477266787,1.8938748457058037
perimeter_nominal,30000.0,0.1,0.1,5.739170477266787,1.662677503176559
cross_light,30000.0,0.25,0.25,14.477512185929925,1.1600662665029449
cross_nominal,30000.0,0.25,0.25,14.477512185929925,1.0730987937528877
perimeter_nominal,30000.0,0.25,0.25,14.477512185929925,0.9542369156628241
cross_light,30000.0,0.5,0.5,29.999999999999996,0.7030106672785806
cross_nominal,30000.0,0.5,0.5,29.999999999999996,0.6459076837838734
perimeter_nominal,30000.0,0.5,0.5,29.999999999999996,0.5839888963812132
cross_light,100000.0,0.01,0.01,0.5729673448571527,5.17222023507268
cross_nominal,100000.0,0.01,0.01,0.5729673448571527,5.0888567439227135
perimeter_nominal,100000.0,0.01,0.01,0.5729673448571527,4.779235104154268
cross_light,100000.0,0.05,0.05,2.8659839825988622,3.3776294549030155
cross_nominal,100000.0,0.05,0.05,2.8659839825988622,3.282243968236499
perimeter_nominal,100000.0,0.05,0.05,2.8659839825988622,3.001963098920674
cross_light,100000.0,0.1,0.1,5.739170477266787,2.4592264550107754
cross_nominal,100000.0,0.1,0.1,5.739170477266787,2.378604016306147
perimeter_nominal,100000.0,0.1,0.1,5.739170477266787,2.1709236937282874
cross_light,100000.0,0.25,0.25,14.477512185929925,1.4060272620954046
cross_nominal,100000.0,0.25,0.25,14.477512185929925,1.3548536672959997
perimeter_nominal,100000.0,0.25,0.25,14.477512185929925,1.2474002562934605
cross_light,100000.0,0.5,0.5,29.999999999999996,0.8401001688198518
cross_nominal,100000.0,0.5,0.5,29.999999999999996,0.8087926994508482
perimeter_nominal,100000.0,0.5,0.5,29.999999999999996,0.7539648183667217
